epoch,F1,Precision,Recall
1,0.6003,  0.7832 ,0.4866
2,0.6690,  0.6874 ,0.6514
3,0.6744,  0.7486 ,0.6136
4,0.6690,  0.6874 ,0.6514
5,0.6839,  0.6909 ,0.6771
6,0.6918,  0.6781 ,0.7060
7,0.6949,  0.7136 ,0.6771
8,0.7032,  0.7141 ,0.6927
9,0.7005,  0.7017 ,0.6993
10,0.7041,  0.7244 ,0.6849
