epoch,F1,Precision,Recall
1, 0.0000,0.0000,0.0000
2, 0.0000,0.0000,0.0000
3, 0.0000,0.0000,0.0000
4, 0.7261,0.8424,0.6380
5, 0.7807,0.9695,0.6534
6, 0.8267,0.9500,0.7317
7, 0.8835,0.9292,0.8421
8, 0.8835,0.9292,0.8421
9, 0.8811,0.9482,0.8228
10,0.8856,0.9307,0.8447
11,0.9126,0.9577,0.8716
12,0.9103,0.9156,0.9050
13,0.9079,0.9613,0.8601
14,0.9099,0.9256,0.8947
