epoch,F1,Precision,Recall
1,0.3535,  0.9643 ,0.2164
2,0.9298,  0.9393 ,0.9205
3,0.9449,  0.9446 ,0.9452
4,0.9479,  0.9414 ,0.9546
5,0.9577,  0.9635 ,0.9519
6,0.9537,  0.9509 ,0.9566
7,0.9587,  0.9561 ,0.9613
8,0.9552,  0.9492 ,0.9613
9,0.9571,  0.9524 ,0.9619
10,0.9578,  0.9536 ,0.9619
